Name ,Link,State ,Party ,LegislativeBody
"Cartwright, Matt",https://twitter.com/RepCartwright,PA,D,house
"Case, Ed",https://twitter.com/RepEdCase,HI,D,house
"Casten, Sean",https://twitter.com/RepCasten,IL,D,house
"Castor, Kathy",https://twitter.com/USRepKCastor,FL,D,house
"Castro, Joaquin",https://twitter.com/JoaquinCastrotx,TX,D,house
"Cawthorn, Madison",https://twitter.com/RepCawthorn,NC,R,house
"Chabot, Steve",https://twitter.com/RepSteveChabot,OH,R,house
"Cheney, Liz",https://twitter.com/RepLizCheney,WY,R,house
"Cherfilus-McCormick, Sheila",https://twitter.com/CongresswomanSC,FL,D,house
"Chu, Judy",https://twitter.com/RepJudyChu,CA,D,house
"Cicilline, David",https://twitter.com/RepCicilline,RI,D,house
"Clark, Katherine",https://twitter.com/RepKClark,MA,D,house
"Clarke, Yvette D.",https://twitter.com/RepYvetteClarke,NY,D,house
"Cleaver, Emanuel",https://twitter.com/repcleaver,MO,D,house
"Cline, Ben",https://twitter.com/RepBenCline,VA,R,house
"Cloud, Michael",https://twitter.com/RepCloudTX,TX,R,house
"Clyburn, James E.",https://twitter.com/WhipClyburn,SC,D,house
"Clyde, Andrew S.",https://twitter.com/Rep_Clyde ,GA,R,house
"Cohen, Steve",https://twitter.com/RepCohen,TN,D,house
"Cole, Tom",https://twitter.com/TomColeOK04,OK,R,house
"Comer, James",https://twitter.com/RepJamesComer,KY,R,house
"Connolly, Gerald E. ""Gerry""",https://twitter.com/GerryConnolly,VA,D,house
"Conway, Connie",https://twitter.com/RepConnieConway,CA,R,house
"Cooper, Jim",https://twitter.com/repjimcooper,TN,D,house
"Correa, J. Luis",https://twitter.com/RepLouCorrea,CA,D,house
"Costa, Jim",https://twitter.com/RepJimCosta,CA,D,house
"Courtney, Joe",https://twitter.com/RepJoeCourtney,CT,D,house
"Craig, Angie",https://twitter.com/RepAngieCraig,MN,D,house
"Crawford, Rick",https://twitter.com/RepRickCrawford,AR,R,house
"Crenshaw, Dan",https://twitter.com/RepDanCrenshaw,TX,R,house
"Crow, Jason",https://twitter.com/RepJasonCrow,CO,D,house
"Cuellar, Henry",https://twitter.com/RepCuellar,TX,D,house
"Curtis, John R.",https://twitter.com/RepJohnCurtis,UT,R,house
"Davids, Sharice",https://twitter.com/RepDavids,KS,D,house
"Davidson, Warren",https://twitter.com/WarrenDavidson,OH,R,house
"Davis, Danny K.",https://twitter.com/RepDannyDavis,IL,D,house
"Davis, Rodney",https://twitter.com/RodneyDavis,IL,R,house
"Dean, Madeleine",https://twitter.com/RepDean,PA,D,house
"DeFazio, Peter",https://twitter.com/RepPeterDeFazio,OR,D,house
"DeGette, Diana",https://twitter.com/RepDianaDeGette,CO,D,house
"DeLauro, Rosa L.",https://twitter.com/rosadelauro,CT,D,house
"DelBene, Suzan",https://twitter.com/RepDelBene,WA,D,house
"Demings, Val",https://twitter.com/RepValDemings,FL,D,house
"DeSaulnier, Mark",https://twitter.com/RepDeSaulnier,CA,D,house
"DesJarlais, Scott",https://twitter.com/DesJarlaisTN04,TN,R,house
"Diaz-Balart, Mario",https://twitter.com/MarioDB,FL,R,house
"Dingell, Debbie",https://twitter.com/RepDebDingell,MI,D,house
"Doggett, Lloyd",https://twitter.com/RepLloydDoggett,TX,D,house
"Donalds, Byron",https://twitter.com/RepDonaldsPress,FL,R,house
"Doyle, Michael",https://twitter.com/USRepMikeDoyle,PA,D,house
"Duncan, Jeff",https://twitter.com/RepJeffDuncan,SC,R,house
"Dunn, Neal",https://twitter.com/DrNealDunnFL2,FL,R,house
"Ellzey, Jake",https://twitter.com/RepEllzey,TX,R,house
"Emmer, Tom",https://twitter.com/RepTomEmmer,MN,R,house
"Escobar, Veronica",https://twitter.com/RepEscobar,TX,D,house
"Eshoo, Anna G.",https://twitter.com/RepAnnaEshoo,CA,D,house
"Espaillat, Adriano",https://twitter.com/RepEspaillat,NY,D,house
"Estes, Ron",https://twitter.com/RepRonEstes,KS,R,house
"Evans, Dwight",https://twitter.com/RepDwightEvans,PA,D,house
"Fallon, Pat",https://twitter.com/RepPatFallon,TX,R,house
"Feenstra, Randy",https://twitter.com/RepFeenstra,IA,R,house
"Ferguson, A. Drew",https://twitter.com/RepDrewFerguson,GA,R,house
"Finstad, Brad",https://twitter.com/repfinstad,MN,R,house
"Fischbach, Michelle",https://twitter.com/RepFischbach,MN,R,house
"Fitzgerald, Scott",https://twitter.com/RepFitzgerald,WI,R,house
"Fitzpatrick, Brian",https://twitter.com/RepBrianFitz,PA,R,house
"Fleischmann, Chuck",https://twitter.com/RepChuck,TN,R,house
"Fletcher, Lizzie",https://twitter.com/RepFletcher,TX,D,house
"Flood, Mike",https://twitter.com/USRepMikeFlood,NE,R,house
"Flores, Mayra",https://twitter.com/repmayraflores,TX,R,house
"Foster, Bill",https://twitter.com/RepBillFoster,IL,D,house
"Foxx, Virginia",https://twitter.com/virginiafoxx,NC,R,house
"Frankel, Lois",https://twitter.com/RepLoisFrankel,FL,D,house
"Franklin, C. Scott",https://twitter.com/RepFranklin,FL,R,house
"Fulcher, Russ",https://twitter.com/RepRussFulcher,ID,R,house
"Gaetz, Matt",https://twitter.com/RepMattGaetz,FL,R,house
"Gallagher, Mike",https://twitter.com/RepGallagher,WI,R,house
"Gallego, Ruben",https://twitter.com/RepRubenGallego,AZ,D,house
"Garamendi, John",https://twitter.com/RepGaramendi,CA,D,house
"Garbarino, Andrew R.",https://twitter.com/RepGarbarino,NY,R,house
"García, Jesús ""Chuy""",https://twitter.com/RepChuyGarcia,IL,D,house
"Garcia, Mike",https://twitter.com/RepMikeGarcia,CA,R,house
"Garcia, Sylvia",https://twitter.com/RepSylviaGarcia,TX,D,house
"Gibbs, Bob",https://twitter.com/RepBobGibbs,OH,R,house
"Gimenez, Carlos A.",https://twitter.com/RepCarlos,FL,R,house
"Gohmert, Louie",https://twitter.com/replouiegohmert,TX,R,house
"Golden, Jared",https://twitter.com/RepGolden,ME,D,house
"Gomez, Jimmy",https://twitter.com/RepJimmyGomez,CA,D,house
"Gonzales, Tony",https://twitter.com/RepTonyGonzales,TX,R,house
"González-Cólón, Jenniffer",https://twitter.com/RepJenniffer,PR,R,house
"Gonzalez, Anthony",https://twitter.com/RepAGonzalez,OH,R,house
"Gonzalez, Vicente",https://twitter.com/RepGonzalez,TX,D,house
"Good, Bob",https://twitter.com/RepBobGood,VA,R,house
"Gooden, Lance",https://twitter.com/Lancegooden,TX,R,house
"Gosar, Paul A.",https://twitter.com/RepGosar,AZ,R,house
"Gottheimer, Josh",https://twitter.com/RepJoshG,NJ,D,house
"Granger, Kay",https://twitter.com/RepKayGranger,TX,R,house
"Graves, Garret",https://twitter.com/RepGarretGraves,LA,R,house
"Graves, Sam",https://twitter.com/RepSamGraves,MO,R,house
