,LegislativeBody,Name ,Link,State ,Party ,account
96,senate,"Welch, Peter",https://twitter.com/PeterWelch,VT,D,PeterWelch
97,senate,"Whitehouse, Sheldon",https://twitter.com/SenWhitehouse,RI,D,SenWhitehouse
98,senate,"Wicker, Roger ",https://twitter.com/SenatorWicker,MS,R,SenatorWicker
99,senate,"Wyden, Ron",https://twitter.com/RonWyden,OR,D,RonWyden
100,senate,"Young, Todd",https://twitter.com/SenToddYoung,IN,R,SenToddYoung
101,house,"Adams, Alma",https://twitter.com/RepAdams,NC,D,RepAdams
102,house,"Aderholt, Robert",https://twitter.com/Robert_Aderholt,AL,R,Robert_Aderholt
103,house,"Aguilar, Pete",https://twitter.com/RepPeteAguilar,CA,D,RepPeteAguilar
104,house,"Alford, Mark",https://twitter.com/RepMarkAlford,MO,R,RepMarkAlford
105,house,"Allen, Rick",https://twitter.com/RepRickAllen,GA,R,RepRickAllen
106,house,"Allred, Colin",https://twitter.com/RepColinAllred,TX,D,RepColinAllred
107,house,"Amodei, Mark",https://twitter.com/MarkAmodeiNV2,NV,R,MarkAmodeiNV2
108,house,"Armstrong, Kelly",https://twitter.com/RepArmstrongND,ND,R,RepArmstrongND
109,house,"Arrington, Jodey",https://twitter.com/RepArrington,TX,R,RepArrington
110,house,"Auchincloss, Jake",https://twitter.com/RepAuchincloss,MA,D,RepAuchincloss
111,house,"Babin, Brian",https://twitter.com/RepBrianBabin,TX,R,RepBrianBabin
112,house,"Bacon, Don",https://twitter.com/RepDonBacon,NE,R,RepDonBacon
113,house,"Baird, Jim",https://twitter.com/RepJimBaird,IN,R,RepJimBaird
114,house,"Balderson, Troy",https://twitter.com/RepBalderson,OH,R,RepBalderson
115,house,"Balint, Becca",https://twitter.com/RepBeccaB,VT,D,RepBeccaB
116,house,"Banks, Jim",https://twitter.com/RepJimBanks,IN,R,RepJimBanks
117,house,"Barr, Andy",https://twitter.com/RepAndyBarr,KY,R,RepAndyBarr
118,house,"Barragán, Nanette",https://twitter.com/RepBarragan,CA,D,RepBarragan
119,house,"Bean, Aaron",https://twitter.com/RepAaronBean,FL,R,RepAaronBean
120,house,"Beatty, Joyce",https://twitter.com/RepBeatty,OH,D,RepBeatty
121,house,"Bentz, Cliff",https://twitter.com/RepBentz,OR,R,RepBentz
122,house,"Bera, Ami",https://twitter.com/RepBera,CA,D,RepBera
123,house,"Bergman, Jack",https://twitter.com/RepJackBergman,MI,R,RepJackBergman
124,house,"Beyer, Don",https://twitter.com/RepDonBeyer,VA,D,RepDonBeyer
125,house,"Bice, Stephanie",https://twitter.com/RepBice,OK,R,RepBice
126,house,"Biggs, Andy",https://twitter.com/RepAndyBiggsAZ,AZ,R,RepAndyBiggsAZ
127,house,"Bilirakis, Gus ",https://twitter.com/RepGusBilirakis,FL,R,RepGusBilirakis
128,house,"Bishop, Dan",https://twitter.com/RepDanBishop,NC,R,RepDanBishop
129,house,"Bishop Jr., Sanford ",https://twitter.com/SanfordBishop,GA,D,SanfordBishop
130,house,"Blumenauer, Earl",https://twitter.com/repblumenauer,OR,D,repblumenauer
131,house,"Blunt Rochester, Lisa",https://twitter.com/RepLBR,DE,D,RepLBR
